fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	data_sample_strategy	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	feature_fraction_bynode	max_depth	top_rate	other_rate	estimulos	ganancia	iteracion_bayesiana
20231127 075634	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	177	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0688623870522958	0.782970435181934	327	3473	0.997687513568415	20	0.17752810061038	0.308330739993611	12173	159384602.198901	70
20231127 080519	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	31	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0541553104977172	0.592239640199472	114	5258	0.703818450488422	47	0.451943926703204	0.178810997925448	14373	155418285.357321	71
20231127 081214	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	263	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0974436266781842	0.615807936977499	669	26224	0.719716691205437	18	0.264089432034295	0.3156414496134	11234	156109326.336832	72
20231127 082325	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	380	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0581497523260923	0.878904361832279	191	1871	0.801856362017904	48	0.104919982537934	0.225275954102162	11857	150075462.768616	73
20231127 083157	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	424	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0713073526763033	0.754438530732612	154	15776	0.981022646141673	12	0.273625373519745	0.286283250988661	10833	158127260.869565	74
20231127 084247	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	344	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0577809863295288	0.619857610540763	133	13675	0.588517391421942	39	0.226918767567282	0.204759583085718	11206	156672222.888556	75
20231127 085532	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	810	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0761694601532181	0.638653803415705	220	48636	0.773423353066642	39	0.128344224815211	0.262006243898016	11495	154795869.565217	76
20231127 090158	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	157	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0798602204951636	0.640071328690578	432	7546	0.821312111994966	21	0.209852879747428	0.301893936848786	12503	157240839.08046	77
20231127 091443	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	59	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0477028339039617	0.535287531906633	673	948	0.622125607200918	28	0.213909188205138	0.530438224730352	13346	160407025.487256	78
20231127 092809	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	313	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0484394398988805	0.753658058526812	581	517	0.460423913781511	41	0.166374557019024	0.542687253915773	10013	157345961.51924	79
